timestamp,src_ip,src_port,dest_ip,dest_port,proto,signature,category,severity
2026-04-09T15:13:48.521107+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:50.521320+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:52.521405+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:54.521606+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:56.521728+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:58.521885+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:00.522123+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:02.522179+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:04.522334+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:06.522638+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:08.522636+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:10.522799+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:12.522958+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:14.523105+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:16.523311+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:17.998055+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:18.523417+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:20.523592+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:22.523746+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:24.523893+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:26.524024+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:28.524216+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:30.524355+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:32.524524+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:34.524675+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:36.524921+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:38.524972+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:40.525119+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:42.525261+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:44.525420+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:46.525604+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:48.063423+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:48.530358+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:50.525875+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:52.526045+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:54.526217+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:56.526352+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:14:58.526495+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:15:00.526680+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:15:02.527223+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:15:04.526979+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:15:06.527218+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:15:08.518577+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:15:10.517459+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:15:12.517711+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:15:14.527737+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:15:16.517975+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:15:17.431802+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:15:18.518153+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:15:20.518296+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:15:22.518465+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:15:24.528708+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:15:26.519940+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:15:28.518804+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:15:30.518998+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
